ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1779934	ILMN_1779934	0.0115105638734603	4.31548736464479e-05	0.546104100819791	7.10970828520431	9.17938199421616	2.80436144438785	284925126	CDH23	cadherin-related 23
ILMN_1659047	ILMN_1659047	0.0115105638734603	4.31900104271511e-05	0.527099544920858	7.20912840902042	9.17821215063256	2.80356651400264	21328454	HIST2H2AA3	histone cluster 2, H2aa3
ILMN_1656373	ILMN_1656373	0.0115105638734603	4.36499722807261e-05	-0.663863803984965	7.52054137679447	-9.16299714492101	2.79321739442277	94721326	BNC2	basonuclin 2
ILMN_2145670	ILMN_2145670	0.0115105638734603	4.38097966142705e-05	1.17427091349717	8.27535440132191	9.157752926571	2.78964590824155	340745336	TNC	tenascin C
ILMN_1750722	ILMN_1750722	0.011649289438803	4.49937999204562e-05	-0.555700288847007	10.679579381262	-9.1195672920988	2.76357180989164	71164880	RPS7	ribosomal protein S7
ILMN_2079508	ILMN_2079508	0.011649289438803	4.50829662283362e-05	0.486501320644488	6.87898174512055	9.11673788528216	2.76163502140104	215820655	ZNF204P	zinc finger protein 204, pseudogene
ILMN_1738589	ILMN_1738589	0.0116957718928551	4.56369273628964e-05	0.498874247002479	6.97540810585969	9.09930090605395	2.74968438239597	375268699	MGLL	monoglyceride lipase
ILMN_1694589	ILMN_1694589	0.0117196011397696	4.64908038150109e-05	0.848464266368258	7.84046440657198	9.07288896245258	2.73153448282857	164607179	PAQR8	progestin and adipoQ receptor family member 8
ILMN_2157099	ILMN_2157099	0.0117196011397696	4.67550246136145e-05	1.12392558614379	7.67453950997571	9.06482758869112	2.72598323641597	161377466	CCNA1	cyclin A1
ILMN_2072391	ILMN_2072391	0.0117196011397696	4.70593349438658e-05	-0.455283844114793	8.12079770605103	-9.05560694320323	2.7196270284781	74315926	SNORD31	small nucleolar RNA, C/D box 31
ILMN_1753502	ILMN_1753502	0.0117196011397696	4.72292504193364e-05	0.58508071712353	7.25101905641644	9.05048789055019	2.71609516216156	62865875	IGSF11	immunoglobulin superfamily member 11
ILMN_2200503	ILMN_2200503	0.0119027359513212	4.83479647482182e-05	0.656918119665214	8.5243366917482	9.01729805994063	2.69314265328799	194578874	NIT2	nitrilase family member 2
ILMN_2096719	ILMN_2096719	0.0126788337134733	5.1905927055734e-05	0.928622710727323	7.75207558269345	8.91726867773829	2.62340391477174	51896033	GRK5	G protein-coupled receptor kinase 5
ILMN_1795166	ILMN_1795166	0.012727203771859	5.33055158372634e-05	1.44545031261838	7.46599851044838	8.8800347599271	2.59722712016419	39995096	PTH1R	parathyroid hormone 1 receptor
ILMN_1794190	ILMN_1794190	0.012727203771859	5.33373062036248e-05	0.720415521803727	7.21713130576348	8.87920195988759	2.59664026962158	325053638	CCPG1	cell cycle progression 1
ILMN_2056606	ILMN_2056606	0.012727203771859	5.36874177835361e-05	1.06883098483895	7.97289656004561	8.87006732423766	2.59019942995265	155030237	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
ILMN_2413158	ILMN_2413158	0.0127859133477811	5.43890000401359e-05	-1.01435050604638	12.0769222868369	-8.85196442377289	2.57741379122922	144094253	PODXL	podocalyxin like
ILMN_1783709	ILMN_1783709	0.0129069012950932	5.53164707203508e-05	0.526644522738151	10.5728865372483	8.82843562079652	2.56075360496001	57863286	RRAGA	Ras related GTP binding A
ILMN_1659354	ILMN_1659354	0.0131307600922848	5.739219857899e-05	0.577161898600261	6.95224279549627	8.77736108800866	2.52442333153712	385275080	GH2	growth hormone 2
ILMN_1716803	ILMN_1716803	0.0131307600922848	5.74876272215217e-05	0.672954397244832	7.03276161967633	8.7750636243335	2.52278375110547	154240739	RALYL	RALY RNA binding protein-like
ILMN_1812327	ILMN_1812327	0.0131307600922848	5.75357939180904e-05	0.961669311970945	7.12641517521087	8.77390564454517	2.52195718597206	525459424	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase
ILMN_2130525	ILMN_2130525	0.0133034492939533	5.87179684822348e-05	0.433260905608561	7.22071562293176	8.74582481996628	2.50187711632804	62422581	TSPAN13	tetraspanin 13
ILMN_2404063	ILMN_2404063	0.013699287966483	6.11690232632245e-05	0.707044442378509	11.1564059049291	8.68959461140095	2.46145914616797	228008405	APP	amyloid beta precursor protein
ILMN_1719498	ILMN_1719498	0.013699287966483	6.13847981493427e-05	0.474615879134642	7.38696693721453	8.684767329168	2.45797627812597	218777836	EPHX4	epoxide hydrolase 4
ILMN_2344298	ILMN_2344298	0.013699287966483	6.17795561720111e-05	-0.560997111575404	7.46113683992325	-8.67598549572345	2.45163490578116	100913195	STEAP2	STEAP2 metalloreductase
ILMN_2239754	ILMN_2239754	0.0138213856836234	6.27722371609585e-05	0.483166094400963	7.13835967236252	8.654180635891	2.43585990887193	576795860	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1697268	ILMN_1697268	0.0139524616729211	6.38137919538064e-05	1.13025291828395	8.32220959065948	8.63171888144499	2.41956529632459	60498977	EMILIN2	elastin microfibril interfacer 2
ILMN_1700547	ILMN_1700547	0.0140735019449519	6.48297722657559e-05	0.771089444581275	7.93060338580928	8.61020585292766	2.40391655407023	372622387	CHST9	carbohydrate sulfotransferase 9
ILMN_1805175	ILMN_1805175	0.0140735019449519	6.52676319969946e-05	0.475071748055726	7.16682555682213	8.60105196987436	2.3972453401333	345842400	TGFA	transforming growth factor alpha
ILMN_1741727	ILMN_1741727	0.0143159285621292	6.77098503943479e-05	2.2982068310299	8.93424063726161	8.55124108527626	2.36081141222043	68216098	QPCT	glutaminyl-peptide cyclotransferase
ILMN_1758164	ILMN_1758164	0.0143159285621292	6.7765541712887e-05	0.815570007699867	8.59039778496157	8.55012909787706	2.35999549177576	61676083	STC1	stanniocalcin 1
ILMN_1732923	ILMN_1732923	0.0144308005540884	6.87708463685526e-05	0.980269254517793	8.57671038033995	8.5302326055	2.34537745677014	927928776	SIPA1L2	signal induced proliferation associated 1 like 2
ILMN_1815320	ILMN_1815320	0.0148504670660563	7.2195707607003e-05	0.491394310088742	6.82116347495446	8.46484631376936	2.29708336880518	169881245	NR5A1	nuclear receptor subfamily 5 group A member 1
ILMN_2340259	ILMN_2340259	0.0151673886528533	7.4221533419259e-05	-0.664395929849164	7.62120591617675	-8.4278046788599	2.26955023502063	82799480	PDE4B	phosphodiesterase 4B
ILMN_1726913	ILMN_1726913	0.0153726367992945	7.57175867425111e-05	0.445033288114972	7.97149624209976	8.40117823803476	2.24968031186417	350606365	RBPJ	recombination signal binding protein for immunoglobulin kappa J region
ILMN_2306955	ILMN_2306955	0.015474137887086	7.67848831804677e-05	0.716873436277613	8.21023049440602	8.38254473723801	2.23573591333387	544186075	PXYLP1	2-phosphoxylose phosphatase 1
ILMN_1682273	ILMN_1682273	0.015474137887086	7.72073661608587e-05	0.973672563656282	7.17451662543375	8.37524975576508	2.23026789243863	122937449	SHISA3	shisa family member 3
ILMN_1671295	ILMN_1671295	0.0159465559458422	8.00744989284597e-05	0.775560869263776	7.44331119914063	8.32690919625524	2.19390794516894	157676326	CCDC3	coiled-coil domain containing 3
ILMN_1703487	ILMN_1703487	0.0161881594473603	8.18054497755683e-05	0.871322706495532	9.95226377778539	8.29866542508352	2.17256238200701	197382802	LMO4	LIM domain only 4
ILMN_2179717	ILMN_2179717	0.0165793052125025	8.4842603275136e-05	1.44027511911946	8.41343447654555	8.25070848875295	2.13614544696683	189027134	FAM189A2	family with sequence similarity 189 member A2
ILMN_1738103	ILMN_1738103	0.0166666787416904	8.62521995189465e-05	0.437373876732186	10.24153413592	8.22910768761374	2.11967103073228	40805824	COPE	coatomer protein complex subunit epsilon
ILMN_1772521	ILMN_1772521	0.0166666787416904	8.6355848402541e-05	-0.651180040826594	9.13662580492698	-8.22753517741855	2.11846997460077	337756494	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
ILMN_2049766	ILMN_2049766	0.016698051349817	8.70524649785765e-05	0.930618479945604	9.68703243425059	8.21702164713964	2.11043384300846	225735556	NFE2L3	nuclear factor, erythroid 2 like 3
