ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1662340	ILMN_1662340	0.164893900630075	0.000669785881789149	0.393658348015032	9.3770727006962	5.87354045087475	0.136845848455151	133922581	ZNF358	zinc finger protein 358
ILMN_1707534	ILMN_1707534	0.164994268417861	0.000675470682450142	0.315904586364709	7.58375098614767	5.86503595618721	0.129174805564654	291084503	NKRF	NFKB repressing factor
ILMN_1783805	ILMN_1783805	0.171130955425554	0.00070606707765293	0.402646660616925	7.75295025192656	5.82060127752642	0.0889159389520326	542133162	PNMA3	paraneoplastic Ma antigen 3
ILMN_1687495	ILMN_1687495	0.173182258616316	0.000720069520249505	0.410621307497482	7.74593246097346	5.80098058632643	0.0710432300829087	49619230	SLC37A1	solute carrier family 37 member 1
ILMN_1731224	ILMN_1731224	0.173333810969167	0.000726882742704184	0.459608152879408	7.81657454839405	5.79158779838706	0.0624663636675296	226371705	PARP9	poly(ADP-ribose) polymerase family member 9
ILMN_2246510	ILMN_2246510	0.173333810969167	0.000731787342414445	0.563471007981312	8.16289521956955	5.78488715384745	0.0563395098797841	241666460	TSC1	tuberous sclerosis 1
ILMN_1758457	ILMN_1758457	0.177022707026171	0.000761180475709311	0.478002058300721	8.2492810403994	5.74575718212051	0.0204223700695856	427918109	TBC1D16	TBC1 domain family member 16
ILMN_1672728	ILMN_1672728	0.177022707026171	0.000770044102198229	0.349493615405031	9.76399186364577	5.73428889789565	0.00985094648536133	214831684	KCTD5	potassium channel tetramerization domain containing 5
ILMN_2098325	ILMN_2098325	0.177022707026171	0.000775670404355704	0.391028452385294	9.81723938832628	5.72708574276665	0.00320069992636896	160333749	C8orf33	chromosome 8 open reading frame 33
ILMN_2148469	ILMN_2148469	0.17773814071822	0.000784489970546741	-0.483470336876177	11.0097874358285	-5.71591136855754	-0.00713184640740572	34147350	RASL11B	RAS like family 11 member B
ILMN_1719170	ILMN_1719170	0.178250986871728	0.000792454652823202	-0.323623419980644	7.46156689235746	-5.70594042347509	-0.0163679798778178	30795189	WBSCR27	Williams Beuren syndrome chromosome region 27
ILMN_1805973	ILMN_1805973	0.181897848222499	0.000814485343540902	-0.523224363380374	8.80274699162235	-5.678934685099	-0.0414611634617392	221554546	GPR19	G protein-coupled receptor 19
ILMN_1758164	ILMN_1758164	0.183201608517493	0.000826182652113047	-0.540359567729411	8.59039778496157	-5.6649263947182	-0.0545221614465898	61676083	STC1	stanniocalcin 1
ILMN_1690392	ILMN_1690392	0.183295936580982	0.00084055465611263	0.385417834541017	8.34905226156777	5.64801604977724	-0.0703298282151064	323276613	COMMD3	COMM domain containing 3
ILMN_1764873	ILMN_1764873	0.183295936580982	0.000842377723820427	0.318342289159918	7.47739909983688	5.64589416268755	-0.0723165137982429	38201713	ELAVL1	ELAV like RNA binding protein 1
ILMN_1715809	ILMN_1715809	0.183295936580982	0.000844195447695943	0.385930755170656	7.36725136531344	5.64378360913285	-0.0742932878928118	1023301006	OGFRL1	opioid growth factor receptor like 1
ILMN_1712023	ILMN_1712023	0.185180398148114	0.000858797343167549	-0.381957135595775	6.78405964967663	-5.62701185529365	-0.0900267855783561	537361019	SLC8A3	solute carrier family 8 member A3
ILMN_2103480	ILMN_2103480	0.185953971955996	0.000868332370804562	0.378966677764783	8.82550035696489	5.61623132754694	-0.100163271983603	61676194	ZNF320	zinc finger protein 320
ILMN_1767481	ILMN_1767481	0.187468788688784	0.00088140190421708	-0.315856507376789	8.07170917417695	-5.60166801786153	-0.113885596341854	1000232079	ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog
ILMN_1794829	ILMN_1794829	0.190514831358968	0.000904073320739366	0.3110967762433	8.7410499300596	5.57696976339543	-0.137234085650531	156523250	MRAP2	melanocortin 2 receptor accessory protein 2
ILMN_1818677	ILMN_1818677	0.190514831358968	0.000907909866068135	-0.682971486581369	7.65093896760556	-5.57285886112613	-0.141129685659823	21750004	LINC00599	long intergenic non-protein coding RNA 599
ILMN_1689189	ILMN_1689189	0.191600694794732	0.000937197319396356	-0.351318539972127	8.53220946081121	-5.54210381740595	-0.1703589528355	215983105	ZBTB3	zinc finger and BTB domain containing 3
ILMN_1744949	ILMN_1744949	0.191600694794732	0.00093849045044469	0.770493705714276	7.53488774650768	5.54077076996601	-0.171629262116408	115430107	RHOBTB3	Rho related BTB domain containing 3
ILMN_1658040	ILMN_1658040	0.191600694794732	0.000945968259558051	1.1629780947404	9.67897892736024	5.53310222233754	-0.178942388223525	193083132	CRABP1	cellular retinoic acid binding protein 1
ILMN_1699585	ILMN_1699585	0.191600694794732	0.000957093496371385	0.472260538917951	6.95311744304884	5.52181783440837	-0.189720789080734	319803059	BHLHE22	basic helix-loop-helix family member e22
ILMN_2162989	ILMN_2162989	0.191600694794732	0.000958099776249268	0.425579980743153	8.9582541171737	5.52080440324149	-0.190689771196726	241982749	TMEM189	transmembrane protein 189
ILMN_2395240	ILMN_2395240	0.191600694794732	0.000958452111142907	-0.489556522407266	8.44882312797516	-5.52044984584741	-0.191028816375321	54112404	CHEK2	checkpoint kinase 2
ILMN_1808501	ILMN_1808501	0.191600694794732	0.000960474630479708	0.574974117735369	8.58986475122204	5.51841738539853	-0.192972741523883	215490004	SH3KBP1	SH3 domain containing kinase binding protein 1
ILMN_1797519	ILMN_1797519	0.191600694794732	0.000966546659906667	-1.2512750629225	8.46491151453467	-5.51234415546763	-0.198785343207306	953514556	DLK1	delta like non-canonical Notch ligand 1
ILMN_1803317	ILMN_1803317	0.191600694794732	0.000968237375345989	0.402409276598878	8.87985707125344	5.51066069988551	-0.200397596265018	359718908	SPOUT1	SPOUT domain containing methyltransferase 1
